GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
menu-saas-backend,com.menusaas.auth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.auth.dto,AuthResponse,0,6,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.auth.dto,AuthResponse.UserInfo,0,18,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.auth.dto,RegisterRequest,0,18,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.menus.service,PublicMenuService,46,62,0,0,11,15,2,2,2,2
menu-saas-backend,com.menusaas.files.controller,FileController,0,16,0,0,0,3,0,1,0,1
menu-saas-backend,com.menusaas.files.controller,PublicFileController,0,43,0,2,0,8,0,2,0,1
menu-saas-backend,com.menusaas.users.service,UserService,14,172,4,14,1,43,6,13,2,8
menu-saas-backend,com.menusaas.products.service,ProductService,102,107,11,7,19,22,10,8,4,5
menu-saas-backend,com.menusaas.subscriptions.payment,ManualPaymentGateway,5,13,0,0,1,5,1,3,1,3
menu-saas-backend,com.menusaas.subscriptions.payment,PaymentGateway.CheckoutSession,9,0,0,0,1,0,1,0,1,0
menu-saas-backend,com.menusaas.subscriptions.payment,PaymentGatewayConfig,0,22,0,4,0,5,0,4,0,2
menu-saas-backend,com.menusaas.subscriptions.payment,StripePaymentGateway,199,169,21,14,38,42,17,10,3,6
menu-saas-backend,com.menusaas.subscriptions.payment,PaymentGateway.PaymentEvent,0,18,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.categories.controller,CategoryController,6,40,0,0,1,6,1,4,1,4
menu-saas-backend,com.menusaas.categories.dto,CategoryResponse,0,27,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.categories.dto,CategoryRequest,0,15,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.shared.security,SecurityUtils,23,24,5,3,5,6,5,2,1,2
menu-saas-backend,com.menusaas.users.controller,UserController,37,0,2,0,7,0,6,0,5,0
menu-saas-backend,com.menusaas.restaurants.controller,RestaurantController,28,5,0,0,5,1,4,1,4,1
menu-saas-backend,com.menusaas.files.security,SignedUrlService,19,134,6,16,4,27,6,11,0,6
menu-saas-backend,com.menusaas.users.dto,UserResponse,1,48,1,1,0,6,1,2,0,2
menu-saas-backend,com.menusaas.users.dto,CreateUserRequest,0,15,0,0,0,1,0,1,0,1
menu-saas-backend,com.menusaas.auth.controller,AuthController,9,101,1,1,2,18,2,7,1,7
menu-saas-backend,com.menusaas.qr.service,QrCodeService,14,86,0,0,4,20,0,4,0,4
